#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
,,Asia,,"159,048,701","+123,013","1,435,349",+164,"153,097,659","+168,548","4,515,693","10,565",,,,,,Asia,,,,,,,
,,South America,,"58,506,075",+396,"1,301,112",,"55,484,654",+497,"1,720,309","10,530",,,,,,South America,,,,,,,
,,Europe,,"198,869,376","+5,594","1,848,000",+87,"190,495,118","+78,092","6,526,258","5,764",,,,,,Europe,,,,,,,
,,Oceania,,"9,227,492","+31,944","13,090",+50,"8,873,559","+5,882","340,843",135,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"541,118,116","+162,635","6,332,706",+312,"516,470,119","+257,051","18,315,291","36,154","69,420",812.4,,,,All,,,,,,,
26,Thailand,"4,488,497","+1,833","30,371 ",+19,"4,436,684","+2,155","21,442","1,496","63,993",433,"17,270,775","246,231","70,140,482 ",Asia,"162,3094",26,0.3,306
27,Austria,"4,294,321",,"18,699 ",,"4,231,207",,"44,415",36,"471,576","2,053","188,792,612","20,732,065","9,106,310 ",Europe,24870,,,"4,877"
28,Israel,"4,189,858",,"10,882 ",,"4,149,569",,"29,407",150,"449,266","1,167","41,373,364","4,436,346","9,326,000 ",Asia,28570,,,"3,153"
29,Belgium,"4,170,252",,"31,816 ",,"4,090,549","+3,343","47,887",66,"356,807","2,722","34,197,937","2,925,980","11,687,686 ",Europe,33670,,,"4,097"
30,South Africa,"3,979,126",,"101,509 ",,"3,856,957",,"20,660",192,"65,486","1,671","25,504,687","419,743","60,762,580 ",Africa,155992,,,340
31,Czechia,"3,923,489",+459,"40,303 ",,"3,881,978",+275,"1,208",3,"365,057","3,750","55,467,981","5,160,962","10,747,604 ",Europe,32670,43,,112
32,Canada,"3,899,493",,"41,527 ",,"3,546,436",,"311,530",252,"101,588","1,082","62,220,040","1,620,923","38,385,559 ",North America,109241,,,"8,116"
33,Chile,"3,829,119",,"58,109 ",,"3,542,787",,"228,223",156,"197,019","2,990","39,436,831","2,029,140","19,435,247 ",South America,53340,,,"11,743"
34,Philippines,"3,693,608",,"60,461 ",,"3,630,050",,"3,097",440,"32,856",538,"30,440,249","270,780","112,416,830 ",Asia,"301,8594",,,28
35,Switzerland,"3,667,742",,"13,967 ",,"3,625,749","+1,526","28,026",44,"417,849","1,591","21,153,745","2,409,947","8,777,680 ",Europe,26280,,,"3,193"
36,Peru,"3,591,816",,"213,338 ",,"3,367,622",,"10,856",140,"106,063","6,300","31,020,248","916,001","33,864,868 ",South America,91591,,,321
37,Greece,"3,500,489",,"30,020 ",,"3,423,217",,"47,252",110,"339,060","2,908","83,576,762","8,095,305","10,324,103 ",Europe,33440,,,"4,577"
38,Taiwan,"3,003,501","+66,189","4,403 ",+123,"1,554,084","+89,264","1,445,014",,"125,666",184,"19,729,850","825,497","23,900,579 ",Asia,"85,4281","2,769",5,"60,459"
39,Denmark,"2,992,597",,"6,414 ",,"2,977,628",,"8,555",9,"513,146","1,100","127,533,042","21,868,338","5,831,858 ",Europe,29090,,,"1,467"
40,Romania,"2,912,878",,"65,714 ",,"2,842,802",,"4,362",48,"153,404","3,461","23,326,374","1,228,461","18,988,290 ",Europe,72891,,,230
41,Sweden,"2,510,930",,"19,016 ",,"2,486,355",,"5,559",6,"245,647","1,860","18,622,701","1,821,879","10,221,702 ",Europe,45381,,,544
42,Iraq,"2,330,049",,"25,223 ",,"2,303,357",,"1,469",9,"55,508",601,"18,647,439","444,228","41,977,141 ",Asia,"181,6642",,,35
43,Serbia,"2,020,596",,"16,101 ",,"2,000,165",,"4,330",10,"233,084","1,857","9,793,592","1,129,730","8,668,966 ",Europe,45381,,,499
44,Bangladesh,"1,954,243",,"29,131 ",,"1,905,337",,"19,775","1,328","11,641",174,"14,191,162","84,532","167,879,547 ",Asia,"865,76312",,,118
45,Hungary,"1,921,486",,"46,571 ",,"1,853,094",,"21,821",8,"199,891","4,845","11,394,556","1,185,368","9,612,671 ",Europe,52061,,,"2,270"
46,Slovakia,"1,791,426",+206,"20,119 ",+3,"1,769,494",+145,"1,813",17,"327,813","3,682","7,160,395","1,310,280","5,464,783 ",Europe,32721,38,0.5,332
47,Jordan,"1,697,271",,"14,068 ",,"1,682,962",,241,124,"163,198","1,353","16,834,239","1,618,665","10,400,076 ",Asia,67391,,,23
48,Georgia,"1,658,240",,"16,826 ",,"1,637,293",,"4,121",,"417,243","4,234","16,920,079","4,257,392","3,974,283 ",Asia,22360,,,"1,037"
49,Ireland,"1,570,519",,"7,383 ",,"1,547,727",,"15,409",22,"311,300","1,463","12,293,825","2,436,820","5,045,028 ",Europe,36830,,,"3,054"
50,Pakistan,"1,531,325",+54,"30,381 ",,"1,496,123",,"4,821",48,"6,680",133,"28,759,600","125,461","229,230,939 ",Asia,"1507,5458",0.2,,21
51,Norway,"1,437,343",,"3,210 ",,"1,429,621",,"4,512",20,"261,161",583,"11,002,430","1,999,111","5,503,661 ",Europe,"41,7151",,,820
52,Singapore,"1,343,645",,"1,398 ",,"1,263,653",,"78,594",3,"226,210",235,"23,877,882","4,019,980","5,939,801 ",Asia,"44,2490",,,"13,232"
53,Kazakhstan,"1,305,874",+7,"13,663 ",,"1,292,115",+6,96,24,"67,967",711,"11,575,012","602,445","19,213,392 ",Asia,"151,4062",0.4,,5
54,New Zealand,"1,248,852","+6,355","1,286 ",+19,"1,205,144","+5,878","42,422",,"249,666",257,"71,423,774","14,278,758","5,002,100 ",Australia/Oceania,"43,8900","1,270",4,"8,481"
55,Hong Kong,"1,219,912",,"9,390 ",,"1,197,195",,"13,327",5,"160,194","1,233","49,428,776","6,490,771","7,615,239 ",Asia,68110,,,"1,750"
56,Morocco,"1,176,165",,"16,082 ",,"1,154,116",,"5,967",293,"31,147",426,"11,743,336","310,990","37,761,188 ",Africa,"322,3483",,,158
57,Bulgaria,"1,167,147",,"37,204 ",,"1,063,059",,"66,884",29,"170,466","5,434","10,051,305","1,468,030","6,846,797 ",Europe,61841,,,"9,769"
58,Croatia,"1,139,835",,"16,019 ",,"1,122,161",,"1,655",6,"281,020","3,949","4,905,321","1,209,379","4,056,066 ",Europe,42531,,,408
59,Finland,"1,114,573",,"4,714 ",,N/A,N/A,N/A,21,"200,555",848,"10,977,262","1,975,233","5,557,453 ",Europe,"51,1791",,,"191,429"
60,Cuba,"1,105,631",,"8,529 ",,"1,096,934",,168,23,"97,729",754,"13,852,049","1,224,417","11,313,177 ",North America,"101,3261",,,15
61,Lebanon,"1,101,247",,"10,446 ",,"1,087,510",,"3,291",186,"162,761","1,544","4,795,578","708,772","6,766,038 ",Asia,66481,,,486
62,Lithuania,"1,064,279",+210,"9,155 ",,"1,037,554",+153,"17,570",5,"401,842","3,457","9,993,449","3,773,251","2,648,498 ",Europe,22890,79,,"6,634"
63,Tunisia,"1,043,540",,"28,648 ",,N/A,N/A,N/A,29,"86,536","2,376","4,640,840","384,842","12,059,066 ",Africa,124213,,,-983.82
64,Slovenia,"1,028,943",+561,"6,645 ",+1,"1,018,400",+381,"3,898",7,"494,805","3,195","2,674,408","1,286,087","2,079,493 ",Europe,23131,270,0.5,"1,874"
65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,081",739,"13,220,483","1,399,988","9,443,281 ",Europe,"101,3531",,,"5,014"
66,Nepal,"979,278",+7,"11,952 ",,"967,233",+16,93,,"32,474",396,"5,732,129","190,085","30,155,659 ",Asia,"312,5235",0.2,,3
